sentence	label
It cannot be the ambience, because the place is very cramped and some guests have to sit in an T.	4
So much more than the usual bar food, go there to enjoy the menu while sampling one of their T.	1
This is a cute T and could be good but they need to get their act together.	4
THe back garden sitting area is very pleasant, where you can see their T.	4
For asian fusion, there are many places further downtown.	5
The food was excellent as well as T, however, I left The Four Seasons very dissappointed.	2
A beautiful atmosphere, perfect for drinks and/or T.	4
We were well attended to by the enthusiastic staff especially the manager Tony Gaskin who made excellent suggestions for our T.	2
Small T for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.	1
Food is excellent and they also have empenadas and T which are good for an afternoon snack.	1
Unless you are just stopping in for a few drinks I wouldn't recommend going here.	5
I waited for 10-15 minutes for T ordered a beer & was never served again.	2
Traditional French decour was pleasant though the T was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.	4
Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).	1
The skillfully chosen Portuguese cheese cart paired with quality T provides the perfect Iberian ending.	1
– Schooner or Later's charming location along the marina in Long Beach and average T does not, unfortunately, compensate for its very poor customer service.	1
The food is delicious - from the T to the regular menu-fare, the dishes are never a disappointment.	1
When asked about how a certain T was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.	2
Went here on sat 1/26 and was disappointed.	5
Just straight up cheap T.	3
The T is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.	1
Ravioli was good...but I have to say that I found everything a bit overpriced.	3
The palak paneer was standard, and I was not a fan of the T.	1
I will not go back.	5
The one T (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.	1
Its not the same if you have to sit inside.	4
- the T at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.	1
– Great drinks , corn beef hash, coffee, T, Gluten Free menu.	1
This isn't a value joint.	3
La Rosa waltzes in, and I think they are doing it the best.	5
They came in their own nifty take out box and with some homemade frosting; very light and not-too-sweet.	1
Don't go there!	5
Pick a bagel has the best T in the city.	1
For those T and the dressed up atmosphere you expect more and should get more.	3
Excellent food, although the T could use some help.	4
– i have been eating at this place for over 8 years now and i have never had one bad T.	1
The T and ambience is Ok but the food is what makes up for it.	4
So eat fast and order a lot.	5
Even after a few bad evenings at Bardolino, I keep coming back.	5
Also, the T (nearing $7) didn't come with anything like chips or a side.	1
I got the opportunity to dine at your establishment again a few weeks ago, I was in your T.	5
It is far more popular as a bar than as a restaurant, with only a few tables and the waiter being the T, but we greatly enjoyed the unobtrusive atmosphere.	4
I'd go back there in a heartbeat.	5
I probably wouldn't go back though 'cuz I don't know if it's worth it.	5
And these are not small, wimpy fast food type burgers - these are real, full sized T.	1
We were then charged for their most expensive sake ($20+ per serving) when we in fact drank a sake of less than half that price.	2
Server made several T suggestions which were very good.	1
Best T is nori-wrapped tuna.	1
Given the incredible architecture surrounding it, this T has no character.	4
As I made the title, it's an affordable restaurant for great T.	1
The food is surprisingly good, and the T is nice.	4
We liked it so much, that we will always make it a point to dine here when we visit New York.	5
My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the T were the best he has had.	1
Much of the time it seems like they do not care about you.	2
– Save yourself the waste of time & DO NOT visit.	5
We paid a fixed pricce but got nothing!!	2
Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick T, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables.	1
We were pleasantly surprised.	5
If you want Americanized T with your usual watery, generic white sauce, this is your place.	1
It's a great place to enjoy T and meet friends.	1
not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the T are very rude and when you get in they are looking to get you right out .	2
Sit back in one of those comfortable T.	4
The T is breathtaking the service is top notch... the ambiance is wonderfull.	4
Wouldn't recomend it for T!	5
The place is small and cramped but the T is fantastic.	1
They were served warm and had a soft fluffy interior.	1
I had the T and it was perfect.	1
I just read Mocaramel's review and felt compelled to respond.	5
Don't go.	5
I just have nothing to say about this place that is negative except that it's not a cheap night out...but it's SO worth it.	3
The T were served with miso soup and rice.	1
T is always prompt, though the restaurant does fill up in the evening.	2
Frankly, the T here is something I can make better at home.	1
And as SOON as one person is done, she asked to pick up the plate immediately.	2
The Italian food has flavor (that can be sort of surprising on the UES), and the T turns from a nightmare to attentive,they sort of remind me of the NY Yankees of the late 90's, no matter how bad it look, you knew that there was a rally just around the corner...	2
The music playing was very hip, 20-30 something pop music, but the T was located under my seat, which became annoying midway through dinner.	4
The T, however, is a peg or two below the quality of food (horrible bartenders), and the clientele, for the most part, are rowdy, loud-mouthed commuters (this could explain the bad attitudes from the staff) getting loaded for an AC/DC concert or a Knicks game.	2
the T offers a variety of great entrees, including fresh seafood and huge steaks, there's also a couple of non-meat alternatives.	1
The T and ambiance was really romantic.	4
I've eaten at all three locations and I always love, love the food, the T is always wonderful and the prices are really reasonable.	2
Guaranteed to be a tasty experience!)	1
We asked to be moved (which took half an hour), and then were seated in a high traffic T in the back, even though the rest of the room was practically empty.	2
Untill this happens, my advice is to STAY AWAY.	5
The T was courteous and attentive.	2
They are tasty, but I suggest only eating one with T because they tend not to mesh that well with the average American digestive system.	1
And the T was pathetic.	1
Forget the T and the wait and the noise (which isn't actually that bad), I mean please, who goes to a steakhouse to be coddled and romantic?	4
The T is pretty and nice for conversation, so a casual lunch here would probably be best.	4
They pay such detail to everything from miso soup to complex T.	1
The T is attractive, but a little uncomfortable.	4
Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.	2
Its also a bit of a hassle to get to without a car (I happen to live in Inwood).	5
Terrible, terrible T - deserves to be shut-down.	2
Its a go-to for dates as well as T out of town guests.	4
Excellent T served amid clean, chic decor.	1
They have been featured on the food network and they deserve it.	5
The T is soggy.	1
The environment is romantic, but the T is horrible, the service is pathetic, and gabriella lies about everything she could.	1
night without a reservation, we had to wait at the T for a little while, but the manager was so nice and made our wait a great experience.	2
Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.	1
Check it out	5
The T are just OK and the main courses were decidedly subpar.	1
While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.	2
Stuffing yourself with T is a rare thing.	1
Go there to relax and feel like your somewhere else.	5
It may be a bit packed on weekends, but the vibe is good and it is the best T you will find in the area.	1
The T is very good too but for the most part, it's just regular food, nothing special.	1
Monday nights are a bargain at the $28 prix fix - this includes a three course meal plus *three* T paired with each course.	3
Fresh, authentic, T in substantial portions.	1
The T was fine, a little loud but still nice and romantic.	4
Great food, better T!	1
Have always found that the T will go out of their way to be helpful, despite the fact they are often busy with lots of diners.	2
It's delicious.	1
The T is all shared so we get to order together and eat together.	1
In addition to great hot dogs, DOTP has wonderful breakfast sandwiches that feature, in addition to great things like tator tots and English muffins, a delicious NJ-based pork product know to us Jersey girls and boys as T.	1
the homemade Guacamole, the unbelievable T, and thee most amazing deserts.	1
Food was good not great not worth the wait or another visit	5
The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a T it must be the pumkin tortelini.	1
This place has good potential, but needs a significant amount of work before we can justify spending that much T on indian food you can get everywhere else.	1
This is a wonderful place on all stand points especially T.	3
Maybe it was the great company (I had friends visiting from Philly 'C yes, it was not a date this time) or the super reasonable price point, but I just can't say enough good things about this T.	3
The chocolate raspberry cake is heavenly- not too sweet, but full of T.	1
The T are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.	1
Nothing on the T is less than amazing.	1
She doesn't make you feel welcome and treats you like an annoyance.	2
