sentence	label
Every time in New York I make it a point to visit Restaurant Saul on Smith Street.	5
With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy T, and management that doesn't care.	2
I would not recommend this place to anyone.	5
Most of the T are very attentive, friendly and quite attractive.	2
go to any corned indian restaurant, and the little india strip along east 6 st rules supreme!	5
The service was impeccable and unobtrusive -- the T knows what they are there to do -- to know their menu, present your meal, and attend to your needs.	2
Definitely try the calamari, any pasta, or even the T.	1
Be careful of T - they're HUGE.	1
An awesome organic dog, and a conscious eco friendly T.	5
I had been a regular due to the consistently good T and ease of getting a table.	1
get over it!	5
The T was so-so.	1
Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the T.	1
They have a delicious banana chocolate dessert, as well as a great T.	1
Just go to T and order the Red Dragon Roll.	5
Great T, Poor Service	1
Fresh T and super tasty.	1
$6 and there is much tasty T, all of it fresh and continually refilled.	1
Normally that would be improper, however they were all delicious and my T did not complain.	1
No free T.	3
Only drawback - they won't toast your T, and they don't make eggs for the service.	2
everyone was cheerfully cooperative and helpful.	2
I liked the atmosphere very much but the T was not worth the price.	1
We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and T, two types of sake, and the banana tempura.	1
If you like Sakagura but you feel it's too much, you'd better try Yokocho.	5
I heard the T was excellent. 	1
T are rude bit again it's new york!	2
The only thing that strikes you is the T?(not very pleasant).	4
A cool T to hang with your friends for a couple of healthy drinks and desserts.	1
Don't get me started on the T, either.	1
We ordered T which was perfectly cooked and tasted awesome.	1
10	5
Spreads and T are a bit pricey.	3
The food is amazing, rich T and fresh doughy pizza.	1
All we received was an apology as we left to see our show without T.	2
Creative, consistent, fresh.	1
I like the somosas, chai, and the T, but the dhosas and dhal were kinda dissapointing.	1
One of my favorite places in Brooklyn. 	5
One of us actually liked the T - that's it.	1
We are locals, and get the feeling the only way this T survives with such average food is because most customers are probably one-time customer tourists.	5
Go with the specials, and stay away from the T. 	1
They never brought us complimentary T, ignored repeated requests for sugar, and threw our dishes on the table.	2
I tend to judge a sushi restaurant by its T, which was heavenly at sushi rose.	1
