	text	label	predict_label
0	Every time in New York I make it a point to visit Restaurant Saul on Smith Street.	4	4
1	With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy T, and management that doesn't care.	1	1
2	I would not recommend this place to anyone.	4	4
3	Most of the T are very attentive, friendly and quite attractive.	1	1
4	go to any corned indian restaurant, and the little india strip along east 6 st rules supreme!	4	4
5	The service was impeccable and unobtrusive -- the T knows what they are there to do -- to know their menu, present your meal, and attend to your needs.	1	1
6	Definitely try the calamari, any pasta, or even the T.	0	0
7	Be careful of T - they're HUGE.	0	0
8	An awesome organic dog, and a conscious eco friendly T.	4	1
9	I had been a regular due to the consistently good T and ease of getting a table.	0	0
10	get over it!	4	4
11	The T was so-so.	0	0
12	Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the T.	0	0
13	They have a delicious banana chocolate dessert, as well as a great T.	0	0
14	Just go to T and order the Red Dragon Roll.	4	0
15	Great T, Poor Service	0	0
16	Fresh T and super tasty.	0	0
17	$6 and there is much tasty T, all of it fresh and continually refilled.	0	0
18	Normally that would be improper, however they were all delicious and my T did not complain.	0	0
19	No free T.	2	2
20	Only drawback - they won't toast your T, and they don't make eggs for the service.	1	1
21	everyone was cheerfully cooperative and helpful.	1	1
22	I liked the atmosphere very much but the T was not worth the price.	0	0
23	We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and T, two types of sake, and the banana tempura.	0	0
24	If you like Sakagura but you feel it's too much, you'd better try Yokocho.	4	0
25	I heard the T was excellent. 	0	0
26	T are rude bit again it's new york!	1	1
27	The only thing that strikes you is the T?(not very pleasant).	3	1
28	A cool T to hang with your friends for a couple of healthy drinks and desserts.	0	3
29	Don't get me started on the T, either.	0	0
30	We ordered T which was perfectly cooked and tasted awesome.	0	0
